"Q2_1","Q3_1","Q4_1","Q5_1","Q6_1","Q7_1","detact","age","education","gender","gender_7_TEXT","Q88","race","race_6_TEXT","politicalaffiliation","comments","Score","PROLIFIC_PID","att1","att2","att3","con1","con2","con3","attitude_score","attitude","Condition","video","belief_pre","belief_post","belief_change","attitude_direction","change_direction","change_in_opposite","video_direction","change_align_video","Video_choice","video_type"
84,76,65,-96,-100,-95,"No","65","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Liberal",NA,3,"5d9373b0e04970001ab482da","82","76","65","-96","-100","-95",514,"Pro","none","pro",85.67,86,0.329999999999998,1,1,-0.329999999999998,1,0.329999999999998,0,"Pro_Real"
45,60,52,-43,-32,-35,"Yes","52","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Liberal","interesting study. Glad I got to participate",2,"680a9a523a7f420642befeca","45","71","50","-81","-41","-83",371,"Pro","label","anti",61.83,44.5,-17.33,1,-1,17.33,-1,17.33,1,"Anti_Fake_label"
-29,-86,-37,68,60,-55,"No","41","Bachelor's degree in college (4-year)","Female",NA,"Yes","White",NA,"Liberal",NA,2,"6022cb0bc69ce70874b42f78","65","-86","-37","68","60","-55",-131,"Anti","label","pro",-21.83,-37.5,-15.67,-1,-1,-15.67,1,-15.67,1,"Pro_Fake_label"
86,67,75,42,35,33,"No","25","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Conservative",NA,2,"65e10c42110a19db34d6c99f","86","67","75","-37","-37","-46",348,"Pro","label","pro",58,19.67,-38.33,1,-1,38.33,1,-38.33,0,"Pro_Real"
83,98,84,-62,-66,-56,"No","71","Professional degree (JD, MD)","Female",NA,"No","White",NA,"Liberal","great topic",3,"66773db510940dbd43e1e679","49","79","66","-48","-53","-55",350,"Pro","label","pro",58.33,74.83,16.5,1,1,-16.5,1,16.5,0,"Pro_Real"
100,100,100,25,-90,50,"Yes","46","Bachelor's degree in college (4-year)","Female",NA,"Yes","White",NA,"Moderate, Middle of Road",NA,3,"663a8c15c34f067ca65e3a5d","90","99","90","25","-70","40",284,"Pro","label","pro",47.33,52.5,5.17,1,1,-5.17,1,5.17,0,"Pro_Real"
70,81,-50,72,93,100,"No","39","Some college but no degree","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"5e3bb7770e53243ce0376fe1","70","70","25","50","75","100",-60,"Anti","none","anti",-10,-27.33,-17.33,-1,-1,-17.33,-1,17.33,0,"Anti_Real"
4,-39,-83,48,86,96,"No","33","Master's degree","Male",NA,"No","White",NA,"Extremely Conservative","This was an interesting study. thank you for the chance to participate.",2,"676dcbd74fba5b642d1e2f01","46","19","46","44","-14","55",26,"Pro","none","anti",4.33,-58,-62.33,1,-1,62.33,-1,62.33,1,"Anti_Fake_none"
100,79,77,-51,-75,-45,"No","62","Bachelor's degree in college (4-year)","Female",NA,"No","Black or African American",NA,"Liberal",NA,3,"67bd458a9088e20ffc4f8574","100","79","77","-51","-30","-21",358,"Pro","label","pro",59.67,71.17,11.5,1,1,-11.5,1,11.5,0,"Pro_Real"
50,20,25,-30,-30,-30,"No","44","Some college but no degree","Female",NA,"No","White",NA,"Slightly Liberal",NA,3,"6120602a67554358bbd53c9d","50","15","20","-20","-20","-20",145,"Pro","none","pro",24.17,30.83,6.66,1,1,-6.66,1,6.66,0,"Pro_Real"
67,65,62,53,59,58,"No","55","Doctoral degree","Female",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"6844deec5f46b9050fdc2ae1","23","22","26","18","29","22",2,"Pro","none","anti",0.33,4,3.67,1,1,-3.67,-1,-3.67,1,"Anti_Fake_none"
-98,-100,-100,100,100,100,"No","21","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,2,"6837b6acea22cbb25a8f4c3f","100","1","76","80","-45","83",59,"Pro","label","anti",9.83,-99.67,-109.5,1,-1,109.5,-1,109.5,1,"Anti_Fake_label"
43,50,39,55,40,50,"Yes","35","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Extremely Conservative",NA,1,"682e2dca7365a51662cdeb28","41","48","39","47","33","62",-14,"Anti","label","pro",-2.33,-2.17,0.16,-1,1,0.16,1,0.16,1,"Pro_Fake_label"
100,100,14,14,31,28,"No","34","Master's degree","Male",NA,"No","Black or African American",NA,"Slightly Conservative","No comment",2,"6845f7fee258acb60572656e","100","100","100","0","11","10",279,"Pro","label","pro",46.5,23.5,-23,1,-1,23,1,-23,0,"Pro_Real"
62,30,94,50,76,36,"Yes","38","Professional degree (JD, MD)","Male",NA,"No","Black or African American",NA,"Conservative",NA,3,"67acfcf471895bd3ece873e5","70","47","94","50","76","49",36,"Pro","none","pro",6,4,-2,1,-1,2,1,-2,0,"Pro_Real"
77,35,10,10,57,51,"Yes","29","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative",NA,3,"68373cce499c73350b5613b4","31","38","-13","12","18","39",-13,"Anti","none","pro",-2.17,0.67,2.84,-1,1,2.84,1,2.84,1,"Pro_Fake_none"
86,93,63,-44,-83,-52,"No","63","Master's degree","Male",NA,"No","White",NA,"Liberal",NA,2,"658ea5a4017996f2dc550d43","83","93","63","-44","-83","-52",418,"Pro","label","pro",69.67,70.17,0.5,1,1,-0.5,1,0.5,0,"Pro_Real"
70,80,80,-75,-75,-75,"Yes","42","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Conservative",NA,1,"6654c3056acf3abb982b23ab","50","60","60","-60","-60","-60",350,"Pro","label","pro",58.33,75.83,17.5,1,1,-17.5,1,17.5,0,"Pro_Real"
85,55,7,25,-37,0,"Yes","43","Bachelor's degree in college (4-year)","Female",NA,"No","Asian",NA,"Moderate, Middle of Road",NA,3,"5ed2f70cae98302901c31d4f","85","48","0","53","-26","0",106,"Pro","none","pro",17.67,26.5,8.83,1,1,-8.83,1,8.83,0,"Pro_Real"
97,62,73,66,93,87,"Yes","23","Bachelor's degree in college (4-year)","Male",NA,"No","Black or African American",NA,"Extremely Conservative",NA,3,"682dcc54ba0494cdc899065c","35","-17","17","25","25","19",-34,"Anti","label","pro",-5.67,-2.33,3.34,-1,1,3.34,1,3.34,1,"Pro_Fake_label"
26,25,26,48,-18,67,"Yes","30","Some college but no degree","Female",NA,"Yes","White",NA,"Liberal",NA,2,"638e39edc03272bc8071cbb6","72","84","74","-82","-87","-10",409,"Pro","none","anti",68.17,-3.33,-71.5,1,-1,71.5,-1,71.5,1,"Anti_Fake_none"
55,59,73,-74,-71,-79,"No","54","Some college but no degree","Female",NA,"No","White",NA,"Extremely Conservative",NA,2,"66a96d2eb81f9cec83fb1bd3","46","57","58","-38","-54","-59",312,"Pro","none","pro",52,68.5,16.5,1,1,-16.5,1,16.5,0,"Pro_Real"
82,79,88,-60,-60,-63,"No","54","Bachelor's degree in college (4-year)","Male",NA,"No","Black or African American",NA,"Liberal",NA,2,"6439db560a5e06fd3451c47c","82","30","88","-60","21","-63",302,"Pro","none","pro",50.33,72,21.67,1,1,-21.67,1,21.67,0,"Pro_Real"
25,71,-21,36,45,35,"Yes","32","Master's degree","Male",NA,"No","White",NA,"Extremely Conservative",NA,2,"67cb5baef51d73572cb490ae","80","99","81","-79","18","-41",362,"Pro","none","anti",60.33,-6.83,-67.16,1,-1,67.16,-1,67.16,1,"Anti_Fake_none"
30,35,13,-11,11,-28,"No","48","Associate degree in college (2-year)","Male",NA,"No","White",NA,"Slightly Liberal",NA,3,"673276b17430c6ece3a6d874","30","15","13","-11","26","-10",53,"Pro","label","pro",8.83,17.67,8.84,1,1,-8.84,1,8.84,0,"Pro_Real"
71,62,71,27,-12,30,"Yes","47","Some college but no degree","Male",NA,"No","White",NA,"Slightly Liberal",NA,2,"67363452674f3db8059e7888","71","62","71","27","-12","30",159,"Pro","label","anti",26.5,26.5,0,1,0,0,-1,0,1,"Anti_Fake_label"
40,50,-10,70,30,80,"Yes","24","High school graduate (high school diploma or equivalent including GED)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"631bb11a022ba038ef69e7b1","31","50","-10","70","30","80",-109,"Anti","none","pro",-18.17,-16.67,1.5,-1,1,1.5,1,1.5,1,"Pro_Fake_none"
100,100,100,-100,-100,-100,"Yes","60","Professional degree (JD, MD)","Female",NA,"No","White",NA,"Liberal","No comments, thanks for your clear questions.  ",2,"672cb28f0ef8be73a9775dd2","100","100","100","-100","-100","-100",600,"Pro","none","anti",100,100,0,1,0,0,-1,0,1,"Anti_Fake_none"
100,100,100,-90,-100,-100,"No","32","Bachelor's degree in college (4-year)","Other (please specify):","non-binary","No","White",NA,"Extremely Liberal",NA,2,"60f657824394dac9902c821f","100","100","100","-90","-100","-100",590,"Pro","label","pro",98.33,98.33,0,1,0,0,1,0,0,"Pro_Real"
15,23,38,20,45,21,"No","25","Some college but no degree","Female",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"673b89eee6d0a7352ab6e9ca","21","2","0","11","45","21",-54,"Anti","label","anti",-9,-1.67,7.33,-1,1,7.33,-1,-7.33,0,"Anti_Real"
100,100,100,-100,-43,-46,"Yes","61","Some college but no degree","Female",NA,"No","Black or African American",NA,"Extremely Conservative",NA,3,"67e6bc676fb4db70edc23b5b","100","100","100","-50","1","2",347,"Pro","none","pro",57.83,81.5,23.67,1,1,-23.67,1,23.67,0,"Pro_Real"
80,34,-33,30,74,48,"Yes","50","Master's degree","Female",NA,"No","White",NA,"Liberal",NA,2,"6761c0e69ae48f01649fcf5d","80","34","-33","30","74","-24",1,"Pro","label","pro",0.17,-11.83,-12,1,-1,12,1,-12,0,"Pro_Real"
100,100,100,-49,-46,-61,"No","70","Some college but no degree","Female",NA,"No","White",NA,"Conservative",NA,3,"67d4ab2b6bcf2affcb4d66ec","91","89","87","34","39","8",186,"Pro","label","pro",31,76,45,1,1,-45,1,45,0,"Pro_Real"
57,83,59,52,99,91,"No","69","Master's degree","Female",NA,"No","White",NA,"Slightly Liberal",NA,2,"67cac313455c52c511f790a0","57","83","59","52","99","91",-43,"Anti","label","anti",-7.17,-7.17,0,-1,0,0,-1,0,0,"Anti_Real"
100,100,100,-100,-100,-100,"No","50","Some college but no degree","Female",NA,"No","White",NA,"Conservative","Thanks!",3,"67a391d2ec188c0684a9c2a5","100","100","100","-100","-100","-100",600,"Pro","label","pro",100,100,0,1,0,0,1,0,0,"Pro_Real"
100,100,100,52,-100,50,"Yes","55","Master's degree","Female",NA,"No","White",NA,"Slightly Conservative",NA,2,"682689bb904a5c3ec7df2327","80","70","55","-25","-35","-15",280,"Pro","label","pro",46.67,49.67,3,1,1,-3,1,3,0,"Pro_Real"
100,100,100,20,100,100,"Yes","24","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Extremely Conservative","A very interesting study",1,"682cc9a814426fff5bc756ad","100","100","100","20","100","100",80,"Pro","label","pro",13.33,13.33,0,1,0,0,1,0,0,"Pro_Real"
65,50,55,2,2,2,"Yes","59","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Extremely Conservative",NA,2,"66393ddc9483d4299b5e311e","37","37","46","2","2","2",114,"Pro","none","pro",19,27.33,8.33,1,1,-8.33,1,8.33,0,"Pro_Real"
100,74,86,-55,-72,-64,"No","36","Some college but no degree","Female",NA,"No","Black or African American",NA,"Moderate, Middle of Road","N/A",3,"670fd04ebdeb4aba9822fd3c","46","9","37","-13","-19","-9",133,"Pro","none","pro",22.17,75.17,53,1,1,-53,1,53,0,"Pro_Real"
0,100,100,50,41,0,"Yes","65","Some college but no degree","Female",NA,"No","White",NA,"Conservative",NA,2,"6785c695a07c912f4f5a105d","100","100","100","-100","-28","0",428,"Pro","none","anti",71.33,18.17,-53.16,1,-1,53.16,-1,53.16,1,"Anti_Fake_none"
70,69,58,-10,-26,40,"No","27","Master's degree","Male",NA,"No","White",NA,"Liberal",NA,3,"68362ab13a97959deb738653","65","69","58","-10","-26","40",188,"Pro","label","pro",31.33,32.17,0.840000000000003,1,1,-0.840000000000003,1,0.840000000000003,0,"Pro_Real"
92,83,83,49,61,18,"Yes","30","Master's degree","Female",NA,"No","White",NA,"Extremely Liberal",NA,1,"6833d035ff41f8dd0e0dc9e3","90","83","83","2","61","-32",225,"Pro","none","anti",37.5,21.67,-15.83,1,-1,15.83,-1,15.83,1,"Anti_Fake_none"
72,83,92,90,7,14,"No","42","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Conservative",NA,2,"66a2ba0ab98cf9afedb70111","59","56","79","81","-39","37",115,"Pro","label","pro",19.17,22.67,3.5,1,1,-3.5,1,3.5,0,"Pro_Real"
51,66,75,60,86,-15,"Yes","31","Doctoral degree","Male",NA,"No","White",NA,"Conservative",NA,1,"683fe20e0f645eb07712fc19","-47","66","75","60","84","28",-78,"Anti","none","pro",-13,10.17,23.17,-1,1,23.17,1,23.17,1,"Pro_Fake_none"
84,74,72,-18,42,-26,"Yes","26","Master's degree","Male",NA,"No","Black or African American",NA,"Moderate, Middle of Road",NA,1,"682ce0dbc7fdc3c31225497c","64","52","56","-38","30","-41",221,"Pro","none","pro",36.83,38.67,1.84,1,1,-1.84,1,1.84,0,"Pro_Real"
65,75,-30,40,45,55,"Yes","60","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Liberal",NA,2,"669036d23349747de1e78aba","65","75","35","-25","30","-25",195,"Pro","none","anti",32.5,-5,-37.5,1,-1,37.5,-1,37.5,1,"Anti_Fake_none"
41,49,50,51,56,55,"Yes","37","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative","THANK YOU.",1,"67255b7d44e290655c0ed3cf","100","10","50","30","31","36",63,"Pro","label","anti",10.5,-3.67,-14.17,1,-1,14.17,-1,14.17,1,"Anti_Fake_label"
-50,-73,-58,100,62,68,"Yes","39","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,2,"666b44ed662a3864dc13b118","-50","-73","-58","100","62","68",-411,"Anti","none","anti",-68.5,-68.5,0,-1,0,0,-1,0,0,"Anti_Real"
60,65,51,-30,85,-60,"No","36","Doctoral degree","Female",NA,"No","White",NA,"Conservative",NA,2,"684560a6113fe6a2cee7e524","60","65","51","-40","85","-51",182,"Pro","none","pro",30.33,30.17,-0.159999999999997,1,-1,0.159999999999997,1,-0.159999999999997,0,"Pro_Real"
100,100,80,31,-80,80,"Yes","35","Bachelor's degree in college (4-year)","Other (please specify):","non-binary","No","Black or African American",NA,"Extremely Liberal",NA,2,"68460612af2cf411ed35508c","100","100","100","-100","-100","-30",530,"Pro","label","anti",88.33,41.5,-46.83,1,-1,46.83,-1,46.83,1,"Anti_Fake_label"
80,92,92,-58,-67,-30,"Yes","29","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Liberal",NA,2,"672bee76481ff9ce73293a6b","70","90","92","-40","-60","-30",382,"Pro","none","pro",63.67,69.83,6.16,1,1,-6.16,1,6.16,0,"Pro_Real"
85,83,73,-27,-100,-100,"No","29","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,3,"67d390ad6655208f29df0d42","85","58","73","-27","-100","-100",443,"Pro","none","pro",73.83,78,4.17,1,1,-4.17,1,4.17,0,"Pro_Real"
70,62,58,1,40,-29,"No","45","Master's degree","Male",NA,"No","White",NA,"Liberal",NA,2,"6834ef61a2cb1fd2b557836b","70","62","2","2","40","-29",121,"Pro","label","pro",20.17,29.67,9.5,1,1,-9.5,1,9.5,0,"Pro_Real"
56,79,-41,48,50,2,"Yes","22","Master's degree","Female",NA,"No","White",NA,"Slightly Conservative",NA,2,"6830c4e75a91e66b0d1f798d","56","79","-41","48","50","42",-46,"Anti","none","pro",-7.67,-1,6.67,-1,1,6.67,1,6.67,1,"Pro_Fake_none"
60,61,49,40,-23,-17,"No","46","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Liberal","The survey was helpful",3,"684677b842156c8fd8758b02","17","17","17","12","-1","9",31,"Pro","label","pro",5.17,28.33,23.16,1,1,-23.16,1,23.16,0,"Pro_Real"
89,82,80,76,39,67,"No","46","Bachelor's degree in college (4-year)","Male",NA,"No","Other:","mixed","Moderate, Middle of Road","none",3,"67c7e22dc6cfbb2a879fd8e1","51","52","46","20","38","39",52,"Pro","none","pro",8.67,11.5,2.83,1,1,-2.83,1,2.83,0,"Pro_Real"
100,100,41,100,100,43,"Yes","56","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,2,"674f22af21d6a0d92c657422","100","100","41","100","100","43",-2,"Anti","none","pro",-0.33,-0.33,0,-1,0,0,1,0,1,"Pro_Fake_none"
9,8,4,0,4,3,"Yes","68","Master's degree","Male",NA,"No","White",NA,"Slightly Conservative","nice study",1,"682cc9055fd7fbe5dd18eb6e","2","2","2","2","2","2",0,"Pro","label","pro",0,2.33,2.33,0,1,-2.33,1,2.33,0,"Pro_Real"
99,98,80,1,100,3,"No","28","Bachelor's degree in college (4-year)","Male",NA,"No","Black or African American",NA,"Moderate, Middle of Road",NA,3,"6845e387860a08a99733987f","34","98","57","41","100","-68",116,"Pro","label","pro",19.33,28.83,9.5,1,1,-9.5,1,9.5,0,"Pro_Real"
100,100,100,-15,-100,-100,"No","32","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Extremely Liberal",NA,2,"664f72c5d72f85c6cd81ae82","100","100","100","-15","-100","-100",515,"Pro","label","pro",85.83,85.83,0,1,0,0,1,0,0,"Pro_Real"
100,100,100,-100,-100,-100,"No","31","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Liberal",NA,2,"5d3210f02921470018f240b5","100","100","100","-100","-100","-100",600,"Pro","label","pro",100,100,0,1,0,0,1,0,0,"Pro_Real"
100,66,100,-23,-52,-54,"No","58","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"682e3fe849ac06be68d903cb","100","36","100","5","-52","-54",337,"Pro","none","pro",56.17,65.83,9.66,1,1,-9.66,1,9.66,0,"Pro_Real"
-9,22,-23,17,6,4,"No","50","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Moderate, Middle of Road","None",1,"677edcc906221d9231bd83d7","-9","22","-23","17","6","4",-37,"Anti","label","anti",-6.17,-6.17,0,-1,0,0,-1,0,0,"Anti_Real"
52,63,70,45,66,51,"No","37","Master's degree","Female",NA,"Yes","White",NA,"Conservative",NA,0,"681745d2bd462b63f845c872","97","44","85","69","88","72",-3,"Anti","none","pro",-0.5,3.83,4.33,-1,1,4.33,1,4.33,1,"Pro_Fake_none"
-68,-74,-80,90,88,96,"Yes","54","Doctoral degree","Female",NA,"No","White",NA,"Conservative",NA,2,"6720f4ced2a11d4e702566fa","-12","-16","-13","83","88","96",-308,"Anti","none","anti",-51.33,-82.67,-31.34,-1,-1,-31.34,-1,31.34,0,"Anti_Real"
73,72,53,52,46,33,"No","34","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Liberal","The study was good.",2,"671165ce01cd9c2699b90dc1","73","72","53","52","46","53",47,"Pro","label","pro",7.83,11.17,3.34,1,1,-3.34,1,3.34,0,"Pro_Real"
100,100,100,-100,50,-100,"Yes","46","Bachelor's degree in college (4-year)","Male",NA,"No","Native Hawaiian or Pacific Islander",NA,"Conservative",NA,1,"67a62f17a81104f3f22f32e8","100","100","100","-100","50","-100",450,"Pro","label","pro",75,75,0,1,0,0,1,0,0,"Pro_Real"
100,81,100,-68,-30,-100,"No","29","Doctoral degree","Female",NA,"No","White",NA,"Conservative",NA,3,"683a076e1bfc41f828975727","100","81","100","-68","-30","-100",479,"Pro","label","pro",79.83,79.83,0,1,0,0,1,0,0,"Pro_Real"
-75,-72,-67,88,90,83,"Yes","48","Some college but no degree","Male",NA,"No","White",NA,"Extremely Liberal",NA,1,"5bb58e338f3bd70001e5df57","-67","-69","-69","86","88","81",-460,"Anti","label","pro",-76.67,-79.17,-2.5,-1,-1,-2.5,1,-2.5,1,"Pro_Fake_label"
100,100,75,-90,-50,-90,"No","44","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Extremely Liberal",NA,2,"5b6482e9f5bc0a00019fd571","100","100","75","-90","-50","-90",505,"Pro","none","pro",84.17,84.17,0,1,0,0,1,0,0,"Pro_Real"
5,10,-35,37,100,80,"Yes","37","Master's degree","Female",NA,"No","Black or African American",NA,"Conservative",NA,2,"67dc79e7fdb3c00cca562900","100","100","100","100","-19","30",189,"Pro","label","anti",31.5,-39.5,-71,1,-1,71,-1,71,1,"Anti_Fake_label"
88,45,44,46,-9,-24,"Yes","31","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Liberal",NA,1,"67a50643db89c792e559ceb4","31","-24","17","39","36","10",-61,"Anti","label","pro",-10.17,27.33,37.5,-1,1,37.5,1,37.5,1,"Pro_Fake_label"
37,53,35,-27,-42,-42,"Yes","40","Bachelor's degree in college (4-year)","Female",NA,"No","American Indian or Alaska Native",NA,"Moderate, Middle of Road",NA,1,"559cb12dfdf99b4989fb18ed","2","2","2","2","2","2",0,"Pro","none","pro",0,39.33,39.33,0,1,-39.33,1,39.33,0,"Pro_Real"
100,-63,-100,100,100,100,"No","21","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative",NA,2,"682e04457533f40df7cbeb33","100","21","-53","81","100","30",-143,"Anti","label","anti",-23.83,-60.5,-36.67,-1,-1,-36.67,-1,36.67,0,"Anti_Real"
50,50,40,30,-20,-20,"No","30","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"5fea9f4983f6afa8281acf14","50","50","40","30","-20","-20",150,"Pro","label","pro",25,25,0,1,0,0,1,0,0,"Pro_Real"
-25,-23,-26,55,54,59,"Yes","46","Master's degree","Female",NA,"No","White",NA,"Slightly Conservative",NA,1,"662bbc5c823afb7c3a3a1629","19","13","11","37","49","22",-65,"Anti","none","anti",-10.83,-40.33,-29.5,-1,-1,-29.5,-1,29.5,0,"Anti_Real"
52,43,52,54,15,-15,"No","37","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,3,"684609a7008733865e631328","52","43","52","54","-33","35",91,"Pro","label","pro",15.17,15.5,0.33,1,1,-0.33,1,0.33,0,"Pro_Real"
100,48,100,-62,-59,-49,"No","65","Master's degree","Female",NA,"No","White",NA,"Extremely Liberal","very interesting",3,"67abd57a8bc907775a0d58fa","100","48","100","-62","-59","2",367,"Pro","label","pro",61.17,69.67,8.5,1,1,-8.5,1,8.5,0,"Pro_Real"
38,41,-19,15,57,40,"Yes","37","Associate degree in college (2-year)","Male",NA,"No","White",NA,"Liberal",NA,3,"68394e065a8bdddff7f8bed9","-42","-53","-88","43","74","22",-322,"Anti","none","pro",-53.67,-8.67,45,-1,1,45,1,45,1,"Pro_Fake_none"
100,100,100,-70,-65,-64,"No","55","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Liberal",NA,3,"67d0a57b0a4981c5e65c3bcc","72","76","78","-52","-39","-47",364,"Pro","label","pro",60.67,83.17,22.5,1,1,-22.5,1,22.5,0,"Pro_Real"
100,59,-93,64,100,70,"Yes","24","Master's degree","Male",NA,"No","White",NA,"Conservative",NA,3,"683f39d9a3fafed98e4484f8","100","79","100","-84","-31","-69",463,"Pro","none","anti",77.17,-28,-105.17,1,-1,105.17,-1,105.17,1,"Anti_Fake_none"
100,100,100,-100,-100,-100,"Yes","55","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Moderate, Middle of Road","I do feel that AI does need to be regulated to a huge extent. I feel that if it wasn't regulated that it could definitely be something that gets out of hand with abuse of information. If put in the wrong hands, it could be dangerous. ",2,"5e07a0898dffa00ff1aaf60f","55","81","100","-100","-68","-100",504,"Pro","label","pro",84,100,16,1,1,-16,1,16,0,"Pro_Real"
-77,-87,-97,95,100,100,"No","44","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Extremely Liberal",NA,1,"615a108530787f36bf64995b","-79","-88","-72","91","99","99",-528,"Anti","label","anti",-88,-92.67,-4.67,-1,-1,-4.67,-1,4.67,0,"Anti_Real"
50,50,0,-70,10,-70,"No","47","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Extremely Liberal",NA,3,"592f1db78ad1ae0001937983","50","50","0","-70","10","-70",230,"Pro","label","pro",38.33,38.33,0,1,0,0,1,0,0,"Pro_Real"
65,71,42,59,24,-50,"No","34","Master's degree","Female",NA,"No","Black or African American",NA,"Conservative",NA,2,"682cf7b6d859338ecca7a255","35","26","42","41","19","19",24,"Pro","label","pro",4,24.17,20.17,1,1,-20.17,1,20.17,0,"Pro_Real"
100,90,80,5,40,-30,"No","29","Associate degree in college (2-year)","Female",NA,"No","Other:","Mixed Race- Black, White, Native American","Liberal",NA,3,"60e5caad22e3f82821cf5d15","60","15","25","5","30","1",64,"Pro","label","pro",10.67,42.5,31.83,1,1,-31.83,1,31.83,0,"Pro_Real"
53,84,21,-18,-28,-10,"No","35","High school graduate (high school diploma or equivalent including GED)","Male",NA,"No","White",NA,"Extremely Liberal",NA,2,"66b2a6152d3083bbaccd3431","11","13","5","-55","-3","0",87,"Pro","none","pro",14.5,35.67,21.17,1,1,-21.17,1,21.17,0,"Pro_Real"
78,75,71,5,-30,-26,"No","35","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,2,"6844abf1ff1a2ebe375e55b9","78","75","2","5","47","54",49,"Pro","label","pro",8.17,45.83,37.66,1,1,-37.66,1,37.66,0,"Pro_Real"
-50,-82,-59,100,34,100,"No","42","Some college but no degree","Female",NA,"No","White",NA,"Slightly Conservative",NA,1,"608bfa04767191aa4d57bfd8","-72","-75","-100","86","32","85",-450,"Anti","none","anti",-75,-70.83,4.17,-1,1,4.17,-1,-4.17,0,"Anti_Real"
49,39,-32,-28,100,100,"No","57","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Slightly Conservative",NA,2,"63624e53b014a5fc8b293253","49","39","-32","-30","100","100",-114,"Anti","label","anti",-19,-19.33,-0.329999999999998,-1,-1,-0.329999999999998,-1,0.329999999999998,0,"Anti_Real"
69,67,8,-36,-35,-35,"Yes","49","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Slightly Conservative",NA,2,"662942069e781c3f1a1355c4","85","85","20","-20","-20","-20",250,"Pro","none","anti",41.67,41.67,0,1,0,0,-1,0,1,"Anti_Fake_none"
100,-100,-56,-83,92,94,"Yes","33","Bachelor's degree in college (4-year)","Female",NA,"No","Black or African American",NA,"Slightly Conservative",NA,1,"681757b30778d61247096c60","100","99","97","95","-89","-97",387,"Pro","none","anti",64.5,-26.5,-91,1,-1,91,-1,91,1,"Anti_Fake_none"
100,100,100,-44,-63,-2,"Yes","44","Associate degree in college (2-year)","Female",NA,"No","Other:",NA,"Moderate, Middle of Road",NA,1,"6614721a46dbcdfff927e757","55","100","76","2","-46","-2",277,"Pro","none","pro",46.17,68.17,22,1,1,-22,1,22,0,"Pro_Real"
99,97,70,-97,-100,-100,"No","42","Doctoral degree","Female",NA,"No","White",NA,"Conservative","nice survey",3,"6840cd40c43a62128bc6a897","48","2","31","27","-30","-92",176,"Pro","label","pro",29.33,93.83,64.5,1,1,-64.5,1,64.5,0,"Pro_Real"
83,88,77,72,78,72,"Yes","49","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"67a5853eb7c1388e96f84401","81","86","72","70","76","69",24,"Pro","none","pro",4,4.33,0.33,1,1,-0.33,1,0.33,0,"Pro_Real"
100,100,80,-81,53,-67,"No","48","Master's degree","Male",NA,"No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"67d11093c44f4d7f6439251d","71","1","70","15","88","-35",74,"Pro","none","pro",12.33,62.5,50.17,1,1,-50.17,1,50.17,0,"Pro_Real"
