"att1_1","att2_1","att3_1","concern1_1","concern2_1","concern3_1","Q94_First.Click","Q94_Last.Click","Q94_Page.Submit","Q94_Click.Count","att1P_1","att2P_1","att3P_1","concern1P_1","concern2P_1","concern3P_1","persuasive","detact","age","education","Q88","race","race_6_TEXT","politicalaffiliation","comments","Score","PROLIFIC_PID","Condition","Label","Fake","belief_org","belief_final","belief_change","Bonus","Pro","Change_in_Direction","Male"
100,100,100,49,35,40,"150.27","154.292","239.609","2",100,100,100,49,50,36,3,1,44,"Master's degree","Yes","White",NA,"Moderate, Middle of Road",NA,2,"5ed3fdbdb6ee6f39f590e455","Pro_label","1","1",70.6666666666667,72.5,1.83333333333333,0.2,"1",1.83333333333333,1
100,100,85,70,90,100,"1.926","232.098","233.45","8",100,100,70,10,18,38,3,1,37,"Master's degree","No","Asian",NA,"Moderate, Middle of Road",NA,2,"673e16837e848ecc1ee8913f","Anti_none","0","1",90.8333333333333,56,-34.8333333333333,0.2,"0",34.8333333333333,0
26,42,25,25,13,24,"240.605","240.605","241.078","1",26,42,25,25,13,24,2,1,41,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Liberal",NA,2,"61003bc268807a14eae9fdd2","Pro_label","1","1",25.8333333333333,25.8333333333333,0,0.2,"1",0,0
-50,-51,12,28,-44,-13,"90.48","207.332","231.062","4",-36,-54,12,28,-36,-13,1,1,34,"Associate degree in college (2-year)","Yes","White",NA,"Liberal",NA,1,"66f74dc6262753222710ec60","Anti_label","1","1",-19.6666666666667,-16.5,3.16666666666667,0.1,"0",-3.16666666666667,0
74,58,41,-46,20,-31,"3.193","325.338","328.411","2",74,58,41,-46,20,-31,3,0,35,"Associate degree in college (2-year)","Yes","White",NA,"Moderate, Middle of Road",NA,1,"65e7bc942c1e403dbbc925de","Anti_none","0","1",19.3333333333333,19.3333333333333,0,0.1,"0",0,1
100,100,67,60,72,49,"0","0","236.842","0",100,100,67,60,72,49,5,1,24,"High school graduate (high school diploma or equivalent including GED)","Yes","Other:","Hispanic/latina","Moderate, Middle of Road",NA,2,"6597e7b51adf9f8a3a1d55e1","Pro_none","0","1",74.6666666666667,74.6666666666667,0,0.2,"1",0,0
72,66,78,32,34,36,"0","0","252.196","0",100,100,100,59,100,36,3,0,28,"Some college but no degree","Yes","White",NA,"Extremely Conservative","Straight to the point and concise, however, the video could have been replaced with a few written paragraphs instead. ",2,"66ef1b30ce50f9c7b388a7be","Pro_org","0","0",53,82.5,29.5,0.2,"1",29.5,0
55,42,29,62,-49,-30,"0","0","256.233","0",55,65,54,62,-49,-30,2,0,51,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,2,"6698f6841ea17860f25b306d","Pro_org","0","0",18.1666666666667,26.1666666666667,8,0.2,"1",8,1
80,100,80,100,100,100,"0","0","236.719","0",80,100,80,100,100,100,4,1,62,"Some college but no degree","No","White",NA,"Extremely Liberal",NA,2,"5fdbae0584b3a90525410347","Pro_label","1","1",93.3333333333333,93.3333333333333,0,0.2,"1",0,0
70,45,30,38,22,40,"0","0","281.856","0",68,54,40,30,30,34,2,1,41,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Conservative",NA,1,"60fe0b73bbb479e45039b320","Anti_org","0","0",40.8333333333333,42.6666666666667,1.83333333333333,0.1,"0",-1.83333333333333,1
65,65,65,-90,45,-35,"0","0","278.81","0",65,65,55,-100,45,-50,2,0,43,"Associate degree in college (2-year)","No","White",NA,"Slightly Conservative",NA,2,"673b5bb63f8512e9947de293","Anti_org","0","0",19.1666666666667,13.3333333333333,-5.83333333333333,0.2,"0",5.83333333333333,1
100,100,100,100,100,100,"0","0","238.958","0",100,99,100,100,100,100,4,1,62,"Bachelor's degree in college (4-year)","No","White",NA,"Liberal","Thank you for that video! I expected the complete opposite. Best of luck with your research!",0,"664226215b6bead5e2ea5d5a","Pro_label","1","1",100,99.8333333333333,-0.166666666666671,0,"1",-0.166666666666671,0
-100,-100,-100,100,-7,4,"6.813","320.749","323.007","5",-100,-100,-100,100,-7,4,1,0,30,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Conservative","While on the surface the government may ethically and helpfully regulate AI, I believe the government is or will use AI for its own benefit in extremely unethical ways. I am not pro-government nor am I pro-AI. I don't believe using computers benefits society. I believe it is a shortcut that is used to scam people or to save companies (CEOs) money. It makes people lazy and is already extremely harmful to our mental health (social media) and the future of our children and world.",2,"66f7f709fe87abe8d2ff226e","Pro_org","0","0",-33.8333333333333,-33.8333333333333,0,0.2,"1",0,0
26,21,22,84,30,80,"308.298","308.298","310.92","1",28,21,22,84,-10,22,2,1,56,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Liberal",NA,2,"5ddecf14d3ac2affdc8df54c","Anti_label","1","1",43.8333333333333,27.8333333333333,-16,0.2,"0",16,0
90,96,51,42,43,50,"0","0","273.903","0",100,100,100,100,100,100,5,0,54,"Master's degree","No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"65c77f29f9428763522fc32e","Pro_org","0","0",62,100,38,0.2,"1",38,0
80,75,25,50,25,25,"0","0","234.329","0",80,75,25,25,-20,-20,3,1,23,"Bachelor's degree in college (4-year)","No","White",NA,"Moderate, Middle of Road",NA,2,"668103f42ae80cacff1527dd","Anti_label","1","1",46.6666666666667,27.5,-19.1666666666667,0.2,"0",19.1666666666667,0
83,91,8,-26,30,-18,"6.236","15.042","638.463","8",-15,8,-52,-52,-13,-72,3,0,57,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative","The video DID influence my opinion for less regulation",0,"6448503fab8d495eb76b51b0","Anti_none","0","1",28,-32.6666666666667,-60.6666666666667,0,"0",60.6666666666667,0
50,21,36,-43,-30,-26,"179.426","179.426","490.156","1",44,48,22,-49,-52,-39,3,1,50,"Professional degree (JD, MD)","No","White",NA,"Conservative","i do not have any
",1,"678d69a7c4a39dac9fee4fcd","Anti_org","0","0",1.33333333333333,-4.33333333333333,-5.66666666666667,0.1,"0",5.66666666666667,1
100,-53,47,-28,-99,100,"0","0","391.182","0",0,-74,-67,-88,-100,100,5,1,46,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Conservative",NA,1,"677bdb5c84e92d17ae2b1581","Anti_none","0","1",11.1666666666667,-38.1666666666667,-49.3333333333333,0.1,"0",49.3333333333333,1
51,44,36,-2,23,26,"158.258","214.676","474.906","2",51,44,36,-2,23,26,2,1,45,"Master's degree","No","White",NA,"Conservative",NA,2,"678da017eecfeb40cd30b706","Anti_none","0","1",29.6666666666667,29.6666666666667,0,0.2,"0",0,0
57,70,60,-22,31,-20,"141.286","232.654","233.644","3",65,58,60,-33,31,-38,3,1,28,"Master's degree","Yes","White",NA,"Slightly Liberal",NA,2,"672836b205467639aeee468e","Anti_label","1","1",29.3333333333333,23.8333333333333,-5.5,0.2,"0",5.5,0
57,71,76,0,1,0,"266.199","266.199","267.445","1",100,71,94,0,1,0,4,1,37,"Some college but no degree","Yes","Other:","puertorican","Moderate, Middle of Road",NA,2,"67463480327b48a3f1380669","Pro_none","0","1",34.1666666666667,44.3333333333333,10.1666666666667,0.2,"1",10.1666666666667,0
80,39,26,-10,9,-10,"0","0","288.918","0",80,39,26,-10,9,-10,3,1,26,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Liberal",NA,3,"6761fd6e608249c926af67ad","Pro_none","0","1",22.3333333333333,22.3333333333333,0,0.3,"1",0,1
0,0,0,-10,-12,-5,"303.875","303.875","304.496","1",0,10,-10,-60,-100,-50,4,0,43,"Bachelor's degree in college (4-year)","No","Other:","mixed","Liberal",NA,2,"571e332b1bdf1a00119149f2","Anti_none","0","1",-4.5,-35,-30.5,0.2,"0",30.5,0
50,51,41,25,25,24,"21.808","201.03","364.696","8",50,51,41,25,25,24,1,1,52,"Associate degree in college (2-year)","No","White",NA,"Extremely Liberal",NA,2,"64f9db6943940e98c173b596","Anti_none","0","1",36,36,0,0.2,"0",0,0
-70,-100,-90,-86,94,-100,"10.741","15.765","238.645","4",-100,-100,-90,-100,94,-100,3,0,29,"Associate degree in college (2-year)","Yes","Other:","Latino","Slightly Liberal","I answered No to the question ""Do you think this video was made using Deepfake?"" but I meant to answer Yes.",1,"6667a20b4ac63419112ab632","Anti_none","0","1",-58.6666666666667,-66,-7.33333333333334,0.1,"0",7.33333333333334,1
25,50,25,-20,-25,-25,"0","0","239.246","0",25,50,25,-20,-25,-25,1,1,42,"Associate degree in college (2-year)","No","White",NA,"Moderate, Middle of Road",NA,2,"6659377dbc36ded0ffe48ded","Pro_label","1","1",5,5,0,0.2,"1",0,0
54,78,73,-35,58,41,"0","0","279.796","0",72,68,73,-35,58,27,2,1,31,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Liberal",NA,2,"5f4b103ad1c4916ef2194978","Anti_org","0","0",44.8333333333333,43.8333333333333,-1,0.2,"0",1,0
25,32,17,-17,-68,-26,"0","0","234.694","0",47,32,17,-17,-68,-26,1,1,23,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Conservative","That video was creepy, and very clearly AI",1,"6781475a1529d0c9ff3cb81e","Anti_none","0","1",-6.16666666666667,-2.5,3.66666666666667,0.1,"0",-3.66666666666667,0
77,100,71,-28,28,30,"0","0","242.78","0",77,100,71,-28,28,30,4,1,28,"Master's degree","No","White",NA,"Slightly Conservative","AI can be very helpful and harmful technology at a time if it would not use properly.",2,"67842f8946d40d29bab62756","Pro_none","0","1",46.3333333333333,46.3333333333333,0,0.2,"1",0,0
65,32,55,-43,-75,-41,"19.652","19.652","285.121","1",35,-17,29,-31,-37,-61,4,1,34,"Master's degree","No","White",NA,"Liberal",NA,2,"6767ca14e5207336bfda7fd2","Pro_org","0","0",-1.16666666666667,-13.6666666666667,-12.5,0.2,"1",-12.5,0
99,-99,100,100,100,48,"0","0","236.733","0",70,30,24,-75,-14,-64,4,0,55,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Conservative","I fear AI because it uses a large amount of resources such as water and electricity.  I also fear it because of the potential for job losses.",1,"5e6011c399b03c35f69a53d8","Anti_none","0","1",58,-4.83333333333333,-62.8333333333333,0.1,"0",62.8333333333333,0
41,36,37,-39,-52,-53,"0","0","325.846","0",73,59,75,-63,-81,-79,5,0,39,"Master's degree","No","White",NA,"Moderate, Middle of Road","cool",1,"6766d6495e7b634012415652","Pro_org","0","0",-5,-2.66666666666667,2.33333333333333,0.1,"1",2.33333333333333,0
81,80,80,-70,80,80,"0","0","456.704","0",81,80,80,-70,80,80,3,1,52,"Master's degree","No","Asian",NA,"Liberal",NA,2,"6787eb1e8e6ae44b03535d75","Pro_label","1","1",55.1666666666667,55.1666666666667,0,0.2,"1",0,0
90,90,90,70,75,76,"0","0","470.888","0",90,91,90,81,79,76,4,1,68,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Liberal",NA,3,"669da534f660ea8da55027b2","Pro_none","0","1",81.8333333333333,84.5,2.66666666666667,0.3,"1",2.66666666666667,0
-25,21,-100,-55,-90,-40,"0","0","247.466","0",-25,18,-100,-80,-100,-71,3,1,61,"Bachelor's degree in college (4-year)","No","White,Black or African American",NA,"Moderate, Middle of Road","the fact that the video was so clearly AI generated actually brought up more fears - will autonomous AI start producing its own content to manipulate or influence the human population?",1,"663913a30dfec86f2b19cd9b","Anti_label","1","1",-48.1666666666667,-59.6666666666667,-11.5,0.1,"0",11.5,1
75,100,75,50,50,50,"167.89","243.774","245.698","2",75,100,75,50,50,50,4,0,23,"Some college but no degree","No","White",NA,"Liberal",NA,3,"60ac4b90dfbcefd4d673b411","Pro_org","0","0",66.6666666666667,66.6666666666667,0,0.3,"1",0,1
42,0,28,49,-52,-50,"0","0","306.033","0",100,43,-89,-100,-90,-66,5,0,26,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"677e54e7a488a2d9e67a27eb","Anti_org","0","0",2.83333333333333,-33.6666666666667,-36.5,0.2,"0",36.5,1
15,15,50,0,11,-24,"0","0","252.19","0",69,50,50,0,11,25,3,1,35,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Conservative","Thank you!",2,"66e9a6cf278a9806ebe7bd0b","Pro_none","0","1",11.1666666666667,34.1666666666667,23,0.2,"1",23,1
51,50,0,20,-17,-15,"4.494","298.189","299.381","2",100,100,80,51,-25,25,5,0,34,"Associate degree in college (2-year)","No","White",NA,"Conservative",NA,2,"6643a14a5f8e3396daaf127b","Pro_org","0","0",14.8333333333333,55.1666666666667,40.3333333333333,0.2,"1",40.3333333333333,0
-21,2,22,60,-23,62,"0","0","236.593","0",-57,-49,-45,-68,-47,-17,1,1,63,"Bachelor's degree in college (4-year)","No","White",NA,"Moderate, Middle of Road",NA,2,"6512d75a240112657b048033","Pro_label","1","1",17,-47.1666666666667,-64.1666666666667,0.2,"1",-64.1666666666667,0
27,22,-37,21,-72,17,"0","0","340.401","0",58,-38,-37,7,-58,6,2,0,53,"Bachelor's degree in college (4-year)","Yes","White",NA,"Conservative",NA,2,"66ee333a77482f12d6076b08","Pro_org","0","0",-3.66666666666667,-10.3333333333333,-6.66666666666667,0.2,"1",-6.66666666666667,0
46,78,52,28,69,32,"161.61","263.482","284.104","2",46,78,52,49,69,54,2,1,60,"Bachelor's degree in college (4-year)","No","White",NA,"Moderate, Middle of Road",NA,0,"6676e8090b3f8feb94a4f00f","Anti_org","0","0",50.8333333333333,58,7.16666666666666,0,"0",-7.16666666666666,1
100,100,100,0,-46,-2,"6.048","240.437","241.503","2",100,100,100,0,-46,-2,2,1,62,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Liberal","AI really scares me because of videos Ive seen where they make people say things they are not really saying.  I have seen it destroy reputations and friendships.  anyone could make a video of me cussing you out, and most people would believe I really did that, because it looks so real.  I dont like it.  I would much rather depend on humans thanAI.",1,"67019da3d61ec847660f1821","Anti_label","1","1",42,42,0,0.1,"0",0,0
74,2,-49,-100,-100,-57,"0","0","273.342","0",74,2,-49,-100,-100,-57,3,1,56,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"661eadcb0c91013eff454429","Pro_none","0","1",-38.3333333333333,-38.3333333333333,0,0.2,"1",0,0
100,100,100,100,100,100,"177.367","226.573","231.048","9",100,100,100,100,100,100,1,1,33,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Liberal",NA,3,"56252906ed6e5a000fc7fc77","Pro_label","1","1",100,100,0,0.3,"1",0,1
100,100,100,58,100,53,"0","0","259.766","0",100,100,100,90,100,100,4,0,32,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Slightly Liberal","n/a",2,"5c818aee76da300001eeb114","Pro_org","0","0",85.1666666666667,98.3333333333333,13.1666666666667,0.2,"1",13.1666666666667,0
100,100,100,-27,100,-40,"2.718","235.227","236.264","2",75,100,75,-27,100,-40,3,0,57,"Master's degree","No","White",NA,"Liberal",NA,2,"662b1b309c88426e84dbe4ae","Anti_none","0","1",55.5,47.1666666666667,-8.33333333333334,0.2,"0",8.33333333333334,0
36,80,100,-40,30,-10,"43.101","302.351","319.401","2",30,75,81,-50,20,-30,2,0,27,"Associate degree in college (2-year)","No","White",NA,"Conservative",NA,2,"62b072828cfef4de9971753b","Anti_none","0","1",32.6666666666667,21,-11.6666666666667,0.2,"0",11.6666666666667,1
90,95,80,80,80,80,"0","0","240.495","0",90,90,70,20,60,60,2,1,38,"Some college but no degree","No","White",NA,"Liberal",NA,2,"5a283d72e2d20d00013209c1","Anti_none","0","1",84.1666666666667,65,-19.1666666666667,0.2,"0",19.1666666666667,0
91,61,91,-22,-70,-90,"44.399","44.399","522.352","1",100,100,100,-54,-85,-68,4,0,21,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Conservative","I am glad to be part of your research work and I hope to be invited for more research works",1,"678bbe7188d38c3e4baae0f3","Pro_org","0","0",10.1666666666667,15.5,5.33333333333333,0.1,"1",5.33333333333333,0
27,30,19,-36,25,57,"0","0","301.503","0",35,15,27,-38,42,74,3,0,27,"High school graduate (high school diploma or equivalent including GED)","Yes","American Indian or Alaska Native",NA,"Slightly Liberal",NA,2,"63d2f3294efc674f84b302d2","Pro_label","1","1",20.3333333333333,25.8333333333333,5.5,0.2,"1",5.5,1
70,-100,70,0,-31,-29,"1.869","256.166","256.778","6",100,100,100,0,90,90,4,1,51,"Some college but no degree","No","Black or African American",NA,"Slightly Liberal",NA,3,"61313fad6454dab291dc1256","Pro_none","0","1",-3.33333333333333,80,83.3333333333333,0.3,"1",83.3333333333333,0
30,33,0,-48,-56,-52,"2.229","236.624","237.584","2",0,-8,-82,-97,-93,-86,4,0,47,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative",NA,1,"5d46c3ac090549001867b746","Anti_none","0","1",-15.5,-61,-45.5,0.1,"0",45.5,0
47,47,48,32,2,33,"0","0","1341.163","0",47,47,48,32,2,33,1,1,82,"Bachelor's degree in college (4-year)","No","Asian",NA,"Moderate, Middle of Road",NA,2,"67335e8a302aac96120cc104","Pro_none","0","1",34.8333333333333,34.8333333333333,0,0.2,"1",0,0
24,11,12,14,-2,30,"232.154","232.154","232.979","1",50,45,-10,30,-4,28,1,1,30,"Bachelor's degree in college (4-year)","No","Asian",NA,"Liberal",NA,3,"6160e0e3a8156e01fe3e95a6","Anti_none","0","1",14.8333333333333,23.1666666666667,8.33333333333333,0.3,"0",-8.33333333333333,0
87,93,-61,-100,59,-89,"0","0","267.712","0",87,93,93,-100,-93,-89,5,0,20,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Liberal",NA,0,"67598d10d67809e7458ecf1f","Pro_org","0","0",-1.83333333333333,-1.5,0.333333333333333,0,"1",0.333333333333333,1
80,75,40,40,40,40,"43.075","171.939","396.779","6",80,75,30,40,40,40,4,1,46,"Master's degree","No","White",NA,"Liberal",NA,2,"60d6befca58e40d0c63bba9f","Anti_none","0","1",52.5,50.8333333333333,-1.66666666666666,0.2,"0",1.66666666666666,1
54,-71,66,-68,-65,-72,"8.824","8.824","278.699","1",69,60,81,-84,-75,-80,5,1,52,"Doctoral degree","No","Black or African American",NA,"Liberal","No comments please.",2,"65de07bafcbb376ee0421f4e","Pro_org","0","0",-26,-4.83333333333333,21.1666666666667,0.2,"1",21.1666666666667,1
75,80,60,-59,56,38,"0","0","320.222","0",75,80,60,-59,56,38,1,0,49,"High school graduate (high school diploma or equivalent including GED)","Yes","White",NA,"Moderate, Middle of Road","Nothing really to say right now but thank you",1,"6785ab4bf9ece7bf54198116","Anti_org","0","0",41.6666666666667,41.6666666666667,0,0.1,"0",0,1
75,100,52,-72,-16,-36,"0","0","290.824","0",41,63,7,-57,-51,-64,4,1,40,"Bachelor's degree in college (4-year)","No","White",NA,"Liberal",NA,1,"5e4c0ba01ae5a4000b539387","Pro_label","1","1",17.1666666666667,-10.1666666666667,-27.3333333333333,0.1,"1",-27.3333333333333,1
60,62,61,-48,-47,-23,"8.002","273.795","275.333","3",66,72,70,-68,-70,-72,4,0,40,"Master's degree","No","Black or African American",NA,"Liberal",NA,3,"673f09268503fccaeb806f35","Pro_org","0","0",10.8333333333333,-0.333333333333333,-11.1666666666667,0.3,"1",-11.1666666666667,0
38,28,13,-43,-43,-39,"0","0","349.9","0",15,17,27,-22,-19,-23,3,0,25,"Bachelor's degree in college (4-year)","Yes","Black or African American",NA,"Moderate, Middle of Road",NA,1,"67793492b634c25843da5ffa","Anti_org","0","0",-7.66666666666667,-0.833333333333333,6.83333333333333,0.1,"0",-6.83333333333333,1
100,100,100,100,100,100,"0","0","246.501","0",100,100,100,100,100,100,4,1,53,"High school graduate (high school diploma or equivalent including GED)","Yes","White",NA,"Liberal",NA,2,"63ba386fca1ef3cc33de26d2","Pro_label","1","1",100,100,0,0.2,"1",0,1
-13,-74,12,10,-15,-11,"265.964","265.964","267.95","1",-7,-47,32,19,-24,-19,2,0,23,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Moderate, Middle of Road",NA,3,"674eea22d29e81b713dbfb4d","Pro_org","0","0",-15.1666666666667,-7.66666666666667,7.5,0.3,"1",7.5,1
64,66,66,63,62,-25,"236.518","236.518","238.192","1",64,66,66,63,62,-25,2,1,58,"Some college but no degree","No","White",NA,"Liberal",NA,2,"677e435eec413988e8598b02","Anti_none","0","1",49.3333333333333,49.3333333333333,0,0.2,"0",0,0
61,70,74,1,25,40,"4.103","247.869","250.263","8",61,70,74,1,57,40,3,1,55,"Less than high school degree","No","White",NA,"Moderate, Middle of Road",NA,2,"675774540210b92e8a13c120","Pro_none","0","1",45.1666666666667,50.5,5.33333333333334,0.2,"1",5.33333333333334,0
-15,32,14,23,-26,-64,"0","0","250.189","0",-10,71,-12,6,-33,-65,2,0,25,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,2,"60fda57e0916dfe2157c9b00","Pro_org","0","0",-6,-7.16666666666667,-1.16666666666667,0.2,"1",-1.16666666666667,0
0,0,0,-30,-7,-65,"0","0","274.738","0",0,0,0,-32,-8,-66,1,1,54,"Associate degree in college (2-year)","No","White",NA,"Slightly Liberal",NA,2,"6234e1b277e7fe207a9ad500","Anti_label","1","1",-17,-17.6666666666667,-0.666666666666668,0.2,"0",0.666666666666668,1
100,69,51,-56,49,0,"0","0","235.741","0",81,65,51,-56,49,0,3,1,38,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,2,"5c78b032419dcc0014119082","Anti_none","0","1",35.5,31.6666666666667,-3.83333333333333,0.2,"0",3.83333333333333,1
84,100,96,91,69,71,"4.122","252.462","253.31","2",84,100,96,91,69,71,5,1,60,"Some college but no degree","No","White",NA,"Conservative",NA,3,"60a7ed991485489d24b83e94","Pro_org","0","0",85.1666666666667,85.1666666666667,0,0.3,"1",0,0
100,100,75,100,100,100,"0","0","240.152","0",100,100,100,100,100,100,5,0,33,"Some college but no degree","No","White",NA,"Liberal",NA,3,"5920cefe79f76f00012ae1b0","Pro_none","0","1",95.8333333333333,100,4.16666666666667,0.3,"1",4.16666666666667,1
49,26,18,-9,27,-16,"0","0","280.204","0",36,37,12,-27,14,-31,3,1,18,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Moderate, Middle of Road",NA,2,"67346c0008508dd13cbe82ba","Anti_org","0","0",15.8333333333333,6.83333333333333,-9,0.2,"0",9,1
50,60,60,-30,-10,10,"0","0","257.466","0",50,60,60,-30,-10,10,4,0,57,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Liberal",NA,3,"654e8d16c3b64f11c561a9c7","Pro_org","0","0",23.3333333333333,23.3333333333333,0,0.3,"1",0,1
71,87,80,65,67,62,"0","0","257.505","0",71,87,80,65,42,62,1,1,60,"Some college but no degree","No","White",NA,"Slightly Conservative",NA,2,"5bec5b873ffbad0001e8b968","Pro_none","0","1",72,67.8333333333333,-4.16666666666667,0.2,"1",-4.16666666666667,0
-10,-10,-20,-15,-25,-30,"0","0","283.955","0",-10,-15,-25,-25,-35,-37,3,0,51,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Conservative",NA,2,"6764a695a3a28316091f5398","Anti_org","0","0",-18.3333333333333,-24.5,-6.16666666666667,0.2,"0",6.16666666666667,0
30,-10,24,-100,-29,0,"0","0","242.277","0",30,25,35,-100,-29,10,3,0,57,"Some college but no degree","No","White",NA,"Extremely Conservative","I didn't think that it was A.I made but now I am questioning it.",2,"644a9d92849b27eb99202a91","Pro_label","1","1",-14.1666666666667,-4.83333333333333,9.33333333333333,0.2,"1",9.33333333333333,0
70,79,72,57,85,32,"0","0","236.788","0",70,79,72,57,85,32,1,1,24,"Some college but no degree","No","White",NA,"Liberal",NA,2,"6705aaf2c5b623cb8a13d84f","Pro_label","1","1",65.8333333333333,65.8333333333333,0,0.2,"1",0,1
50,77,54,48,38,38,"289.033","289.033","289.13","1",50,77,54,48,38,38,2,1,42,"Some college but no degree","No","White",NA,"Liberal",NA,2,"5c742339e621f900163f4543","Anti_org","0","0",50.8333333333333,50.8333333333333,0,0.2,"0",0,1
72,13,39,-26,-39,-43,"9.398","329.178","330.161","9",72,13,39,-26,-39,-43,4,0,23,"Doctoral degree","No","Black or African American",NA,"Liberal",NA,3,"678cfca676960eef7e95ebf0","Pro_org","0","0",2.66666666666667,2.66666666666667,0,0.3,"1",0,1
35,-23,33,-25,-28,-64,"237.048","237.645","238.494","2",73,69,52,-57,-28,-64,4,1,24,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative",NA,1,"63b6dc1c233ab23db8644757","Pro_label","1","1",-12,7.5,19.5,0.1,"1",19.5,0
100,79,75,1,-3,0,"10.005","241.633","242.978","3",100,79,75,1,-3,0,1,1,37,"Bachelor's degree in college (4-year)","No","White",NA,"Liberal",NA,1,"67606caee59f6f7312f6277f","Anti_label","1","1",42,42,0,0.1,"0",0,1
76,43,65,40,61,47,"237.102","237.102","238.067","1",55,71,37,28,43,22,2,1,50,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Liberal",NA,2,"59f71f797086f80001941493","Anti_label","1","1",55.3333333333333,42.6666666666667,-12.6666666666667,0.2,"0",12.6666666666667,0
67,-52,-26,-50,-54,-20,"41.065","281.801","282.679","2",59,33,-26,-50,-54,-20,3,0,49,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,2,"664ef209ea868d811acb6a97","Pro_none","0","1",-22.5,-9.66666666666667,12.8333333333333,0.2,"1",12.8333333333333,0
80,76,72,49,79,40,"0","0","236.282","0",82,78,74,52,77,38,1,1,39,"Bachelor's degree in college (4-year)","No","White,Asian",NA,"Slightly Conservative","That video was extremely boring. The estimated time to do this was 5 mins, but the video was nearly 4 mins, along with the questions it was well over 5... ",2,"5825e7318cba990001adf031","Pro_label","1","1",66,66.8333333333333,0.833333333333329,0.2,"1",0.833333333333329,1
80,30,80,-60,80,-20,"0","0","250.099","0",100,80,90,-60,90,-10,5,1,29,"Bachelor's degree in college (4-year)","Yes","White",NA,"Moderate, Middle of Road",NA,1,"6771a47aaeb0879876b7a124","Pro_org","0","0",31.6666666666667,48.3333333333333,16.6666666666667,0.1,"1",16.6666666666667,0
90,92,92,40,90,-42,"0","0","238.359","0",80,92,92,20,90,-42,3,1,66,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Liberal",NA,2,"67661b7a5566533f722ae8b0","Pro_label","1","1",60.3333333333333,55.3333333333333,-5,0.2,"1",-5,0
94,90,86,96,95,94,"244.075","244.075","245.373","1",100,100,100,100,100,100,4,1,52,"Some college but no degree","No","White",NA,"Liberal",NA,2,"662ebc504c4ceb99d011a81f","Pro_none","0","1",92.5,100,7.5,0.2,"1",7.5,0
35,80,-20,-27,-8,-17,"0","0","250.825","0",35,80,21,-27,14,-37,2,0,51,"Master's degree","No","White",NA,"Liberal",NA,2,"5f16fa8069dc2901cd1e0b05","Pro_org","0","0",7.16666666666667,14.3333333333333,7.16666666666667,0.2,"1",7.16666666666667,1
46,51,58,24,-33,19,"151.013","151.013","244.649","1",46,44,44,50,-12,19,4,1,21,"Some college but no degree","No","White",NA,"Slightly Conservative",NA,2,"678db4c3fdf099452a5582b8","Anti_label","1","1",27.5,31.8333333333333,4.33333333333333,0.2,"0",-4.33333333333333,0
100,100,100,50,75,50,"0","0","231.919","0",100,100,100,50,75,50,1,1,23,"Bachelor's degree in college (4-year)","No","White",NA,"Liberal",NA,2,"678bf6fd7ba7af6da96f5e31","Anti_label","1","1",79.1666666666667,79.1666666666667,0,0.2,"0",0,1
65,70,20,79,15,45,"0","0","235.101","0",74,75,50,81,31,58,4,1,56,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative",NA,3,"61fa94315719bc09cb834ea0","Pro_label","1","1",49,61.5,12.5,0.3,"1",12.5,1
